cadence,eyeMoveRout,focus,blink,sleepy
119,8.108108,0,37.29729,0
0,2.666667,1,28,2
0,2.307692,2,30,1
0,3.157895,2,25.26316,1
0,4.363636,1,18.54545,1
0,0,1,18.36735,1
0,2.181818,2,27.27273,2
0,1.071429,1,26.78571,1
0,0,1,31.25,1
0,1.153846,2,30,1
0,9.230769,1,18.46154,1
0,3.157895,2,2.105263,2
0,2,2,1,1
0,2,2,5,1
0,1,2,2,1
0,3,2,3,2
0,11.37931,2,4.137931,3
0,3.103448,2,4.137931,3
0,1,2,1,3
0,3,2,1,1
0,1,2,3,2
0,2,2,1,1
0,7.924529,2,4.528302,1
0,1.034483,1,18.62069,1
0,5.555555,2,1.111111,1
0,0,2,0,1
0,1.034483,2,3.103448,1
0,2.068965,2,2.068965,1
0,1,2,1,1
0,2.033898,2,1.016949,1
0,2.068965,2,0,1
0,0,2,1.016949,1
0,5,2,9,1
0,2,2,8,1
0,0,2,0,1
0,3,2,1,1
0,8.076923,2,2.307692,1
0,0,2,1,1
0,0,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,2,1,2
0,0,2,0,2
0,0,0,0,0
0,3.050847,2,3.050847,1
0,1.052632,2,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1.016949,0,0,0
0,0,0,0,0
0,2,0,0,0
0,0,0,0,0
0,0,2,1,1
0,1,2,0,1
0,1.034483,0,0,0
0,2,2,1,1
0,4.615385,2,18.46154,1
0,1,1,15,1
0,0,1,15.78947,1
0,1.111111,2,25.55556,1
0,0,2,23.77358,1
0,0,1,14.23729,1
0,0,1,18.30508,0
0,1.153846,2,19.61539,0
0,0,2,18.46154,0
123,4.285715,0,42.85714,0
123,12,0,54,0
117,2.307692,0,16.15385,0
116,13.17073,0,36.58537,0
112,24.70588,0,32.94118,0
120,4.8,0,31.2,0
0,3.272727,2,24,0
0,0,2,11.37931,0
0,0,1,22.5,1
0,0,1,24,1
0,1.666667,1,18.33333,1
0,17.77778,1,16.66667,1
0,2.068965,2,15.51724,2
0,3.461539,2,20.76923,2
0,8.75,1,15,3
0,2.068965,2,2.068965,1
0,1,2,13,2
